SUMBER KARBOHIDRAT,,,,,
Bahan makanan,berat,kalori,protein,karbohidrat,
beras,50,175,4,40,
bihun,50,175,4,40,
jagung,120,175,4,40,
kentang ,210,175,4,40,
nasi ,100,175,4,40,
singkong,120,175,4,40,
talas,125,175,4,40,
ubi ,135,175,4,40,
tepung beras,50,175,4,40,
tepung terigu,50,175,4,40,
tepung hunkwee,50,175,4,40,
,,,,,
,,,,,
SUMBER PROTEIN HEWANI,,,,,
Bahan makanan,berat,kalori,protein,lemak,kategori
ayam tanpa kulit,40,50,7,2,rendah lemak
babat,40,50,7,2,rendah lemak
ikan segar,40,50,7,2,rendah lemak
ikan asin,15,50,7,2,rendah lemak
ikan teri,15,50,7,2,rendah lemak
udang,35,50,7,2,rendah lemak
putih telur ayam,65,50,7,2,rendah lemak
bakso,170,75,7,5,lemak sedang
hati ayam,30,75,7,5,lemak sedang
hati sapi,35,75,7,5,lemak sedang
daging,170,75,7,5,lemak sedang
telur ayam,55,75,7,5,lemak sedang
ayam dengan kulit,35,150,7,13,tinggi lemak
bebek,45,150,7,13,tinggi lemak
kuning telur ayam,45,150,7,13,tinggi lemak
,,,,,
,,,,,
SUMBER PROTEIN NABATI,,,,,
Bahan makanan,berat,kalori,protein,lemak,karbohidrat
kacang hijau,20,75,5,3,7
kacang kedelai,25,75,5,3,7
kacang merah,20,75,5,3,7
kacang tanah,15,75,5,3,7
tahu,110,75,5,3,7
tempe kedelai,50,75,5,3,7
,,,,,
,,,,,
SUMBER SAYURAN,,,,,
Bahan makanan,berat,kalori,protein,karbohidrat,kategori
gambas,100,0,0,0,sayur A: bebas dimakan (kalori diabaikan)
jamur kuping,100,0,0,0,sayur A: bebas dimakan (kalori diabaikan)
ketimun,100,0,0,0,sayur A: bebas dimakan (kalori diabaikan)
labu air,100,0,0,0,sayur A: bebas dimakan (kalori diabaikan)
bayam,100,25,1,5,sayur B: dibatasi
kangkung,100,25,1,5,sayur B: dibatasi
wortel,100,25,1,5,sayur B: dibatasi
buncis,100,25,1,5,sayur B: dibatasi
labu siam,100,25,1,5,sayur B: dibatasi
sawi,100,25,1,5,sayur B: dibatasi
genjer,100,25,1,5,sayur B: dibatasi
pare,100,25,1,5,sayur B: dibatasi
kecipir,100,25,1,5,sayur B: dibatasi
kacang panjang,100,25,1,5,sayur B: dibatasi
daun katuk,100,25,1,10,sayur C: lebih dibatasi
daun melinjo,100,25,1,10,sayur C: lebih dibatasi
daun pepaya,100,25,1,10,sayur C: lebih dibatasi
daun singkong,100,25,1,10,sayur C: lebih dibatasi
nangka muda,100,25,1,10,sayur C: lebih dibatasi
,,,,,
,,,,,
SUMBER BUAH DAN GULA,,,,,
Bahan makanan,berat,kalori,protein,karbohidrat,
pepaya,110,25,1,5,
kedondong,120,25,1,5,
pisang,50,25,1,5,
melon,190,25,1,5,
semangka,180,25,1,5,
gula,13,25,1,5,
madu,15,25,1,5,
,,,,,
,,,,,
SUMBER SUSU,,,,,
Bahan makanan,berat,kalori,protein,karbohidrat,lemak
susu sapi,200,125,7,10,6
susu kental manis,100,125,7,10,6
,,,,,
,,,,,
SUMBER MINYAK,,,,,
Bahan makanan,berat,kalori,lemak,,
minyak kelapa sawit,5,50,9,,
mentega,5,50,9,,
santan,40,50,9,,
kelapa,15,50,9,,
